Codes	Pop1990	Pop1991	Pop1992	Pop1993	Pop1994	Pop1995	Pop1996	Pop1997	Pop1998	Pop1999	Pop2000	Pop2001	Pop2002	Pop2003	Pop2004	Pop2005	Pop2006	Pop2007	Pop2008	Pop2009	Pop2010	Pop2011	GDP1995	GDP1996	GDP1997	GDP1998	GDP1999	GDP2000	GDP2001	GDP2002	GDP2003	GDP2004	GDP2005	GDP2006	GDP2007	GDP2008	GDP2009
ITF3	5607965	5621030	5631686	5655559	5674718	5691818	5703781	5715238	5723749	5722729	5717694	5708759	5701389	5725098	5760353	5788986	5790929	5790187	5811390	5812962	5824662	5834056	:	:	:	:	:	:	:	:	:	:	:	:	16700	16700	16400
ITF4	4013227	4025392	4031540	4039668	4049795	4055934	4057268	4054098	4051043	4042633	4034887	4026945	4019500	4023957	4040990	4068167	4071518	4069869	4076546	4079702	4084035	4091259	:	:	:	:	:	:	:	:	:	:	:	:	17200	17100	16800
ITF5	611029	610970	610394	610191	610022	609799	608902	607150	605768	603507	601399	599350	597468	596821	597000	596546	594086	591338	591001	590601	588879	587517	:	:	:	:	:	:	:	:	:	:	:	:	18700	18700	18300
ITF6	2080660	2075886	2069008	2065139	2067242	2064883	2062112	2056715	2050493	2041446	2028592	2019405	2009623	2007392	2011338	2009268	2004415	1998052	2007707	2008709	2009330	2011395	:	:	:	:	:	:	:	:	:	:	:	:	16600	16900	16500
ITG1	4969910	4970805	4966884	4981012	4994781	5004913	5009331	5010307	5011170	5004493	4994427	4979647	4965669	4972124	5003262	5013081	5017212	5016861	5029683	5037799	5042992	5051075	:	:	:	:	:	:	:	:	:	:	:	:	17000	17200	16700
ITG2	1637940	1644286	1648005	1649493	1650731	1651147	1650440	1649117	1646474	1642057	1638573	1635003	1630847	1637639	1643096	1650052	1655677	1659443	1665617	1671001	1672404	1675411	:	:	:	:	:	:	:	:	:	:	:	:	19600	20100	19500
NL12	599151	600013	601839	603998	607016	609579	612028	615045	618115	621222	624500	630539	636184	639787	642066	642977	642230	642209	643189	644811	646305	647282	17300	17500	17900	18900	19700	21400	23000	23100	23800	23900	25200	26400	28000	28800	28200
NL13	441028	443510	445596	448256	451409	454864	457316	460817	464672	467093	469806	474506	478799	481254	482415	483369	484481	486197	488135	489918	490981	491411	17900	18000	18300	18600	19400	20900	22300	22800	23100	23200	24500	25400	27200	27900	26500
NL21	1020424	1026325	1032418	1039083	1044648	1050389	1053966	1057944	1063527	1070444	1077625	1086280	1094032	1100677	1105512	1109432	1113529	1116374	1119994	1125435	1130345	1134465	18100	18400	18800	19700	21200	22800	24200	24800	25400	25900	26800	28000	29800	31200	30000
NL22	1804209	1816935	1828808	1839883	1851402	1864732	1876299	1886109	1895656	1906778	1919158	1934314	1949233	1960422	1966929	1972010	1975704	1979059	1983869	1991062	1998936	2004671	17700	18000	18700	19600	20800	22200	23700	24300	24800	25200	26000	27700	29400	30300	29600
NL31	1015515	1026841	1037294	1047035	1056033	1063460	1070585	1079428	1088621	1098722	1107849	1117997	1139925	1152218	1162258	1171291	1180039	1190604	1201350	1210869	1220910	1228794	24400	25400	26000	28100	30800	32600	35100	35500	35600	36300	37500	38800	40900	41600	41200
NL32	2376015	2397088	2421665	2440165	2457329	2463611	2468432	2474754	2486105	2503158	2518354	2534599	2559477	2573120	2587265	2599103	2606584	2613070	2626163	2646445	2669084	2691477	23600	24100	25100	26500	28300	30000	31400	33700	34300	35300	36600	37800	39500	40400	39500
NL33	3221475	3247282	3273460	3297241	3314577	3325064	3332860	3344695	3359047	3378770	3397744	3420700	3423780	3439982	3451942	3458381	3458875	3455097	3461435	3481558	3505611	3528324	20900	21400	22000	23300	24700	26600	28300	29100	29800	30600	32200	33600	35800	36500	34400
NL34	355947	357454	359205	361195	363867	365846	367354	368426	369949	370571	371866	374920	377235	378348	379028	379978	380186	380497	380585	380984	381409	381530	19900	19700	19400	20100	21000	22600	23700	25600	26700	27200	27800	29000	31900	33700	31900
NL41	2189481	2209047	2225331	2243546	2259779	2276207	2290424	2304094	2319262	2337709	2356004	2375116	2391123	2400198	2406994	2411359	2415946	2419042	2424827	2434560	2444158	2454215	20500	21100	21800	22700	24600	26600	28000	28600	29100	30000	31300	33000	34600	35700	34700
NL42	1103960	1109841	1115485	1119942	1125187	1130050	1133669	1136199	1137935	1139302	1141192	1142679	1143296	1141889	1139335	1136695	1131938	1127805	1123705	1122604	1122701	1122627	18200	18400	19200	20400	22000	23300	24700	25800	26100	27100	27700	29100	31200	31900	30000
PT11	:	3518950	3511771	3516484	3527789	3541805	3555975	3570785	3586258	3603618	3621210	3643795	3667529	3691922	3711797	3727310	3737791	3744341	3745236	3745439	3745575	3741092	7500	8000	8400	8900	9500	10000	10600	10900	10800	11100	11500	11900	12700	12900	12600
PT15	:	344830	341075	343336	345970	349658	353309	357472	363387	369298	375841	383399	390933	398370	405380	411468	416847	421528	426386	430084	434023	437643	9800	10200	10900	11600	12600	13500	14500	15000	15500	15800	16300	16900	17800	17800	16800
PT16	:	:	2272111	2270518	2271336	2276261	2281286	2286788	2294537	2302787	2312390	2325161	2339559	2354550	2366691	2376609	2382448	2385891	2385911	2383284	2381068	2375902	7600	8100	8500	9100	9900	10600	11000	11300	11700	12000	12300	12700	13300	13300	13200
PT17	:	:	2574265	2581419	2585705	2593283	2599990	2608986	2619382	2629432	2643253	2661748	2686872	2714614	2740237	2760697	2779097	2794226	2808414	2819433	2830867	2839908	12400	13100	14200	15300	16500	17500	18300	19100	19300	20100	20700	21300	22400	22700	22300
PT18	:	:	772760	770509	768468	767593	766356	764975	764810	764468	764653	765742	766529	767983	767549	767679	765971	764285	760933	757069	753407	749055	8300	8800	9500	9900	10300	11400	11900	12200	12700	13200	13500	14300	14800	14800	14300
SE01	1629631	1641669	1654512	1669840	1686230	1708502	1725756	1744330	1762924	1783440	1803377	1823210	1838882	1850467	1860872	1872900	1889945	1918104	1949516	1981263	2019182	2054343	28800	33200	35100	36200	38400	42000	38900	40900	42300	44600	45900	47700	50500	49400	45200
